tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,numVotes,label,_row_id,is_long_film,is_old_film,is_blockbuster,is_foreign_title,title_word_count,title_has_number
tt0010600,The Doll,Die Puppe,1919.0,66.0,1898.0,1,0,0,1,0,1,2,0
tt0011841,Way Down East,Way Down East,1920.0,145.0,5376.0,1,1,0,1,0,0,3,0
tt0012494,Destiny,Der müde Tod,1921.0,97.0,5842.0,1,2,0,1,0,1,1,0
tt0015163,The Navigator,The Navigator,1924.0,59.0,9652.0,1,3,0,1,0,0,2,0
tt0016220,The Phantom of the Opera,The Phantom of the Opera,1925.0,93.0,17887.0,1,4,0,1,0,0,5,0
tt0016630,Battling Butler,Battling Butler,1926.0,77.0,3285.0,1,5,0,1,0,0,2,0
tt0021015,Juno and the Paycock,,1929.0,85.0,2275.0,0,6,0,1,0,0,4,0
tt0023973,The Eagle and the Hawk,,1933.0,73.0,3559.0,1,7,0,0,0,0,5,0
tt0023986,Employees' Entrance,,1933.0,75.0,3559.0,1,8,0,0,0,0,2,0
tt0024184,The Invisible Man,The Invisible Man,1933.0,71.0,33562.0,1,9,0,0,0,0,3,0
tt0024216,King Kong,King Kong,1933.0,100.0,83177.0,1,10,0,0,0,0,2,0
tt0025028,Dames,,1934.0,91.0,2038.0,1,11,0,0,0,0,1,0
tt0027478,The Crime of Monsieur Lange,Le crime de Monsieur Lange,1936.0,80.0,3559.0,1,12,0,0,0,1,5,0
tt0028333,Swing Time,,1936.0,103.0,3559.0,1,13,0,0,0,0,2,0
tt0030341,The Lady Vanishes,The Lady Vanishes,1938.0,96.0,50707.0,1,14,0,0,0,0,3,0
tt0031143,The Cat and the Canary,,1939.0,72.0,2967.0,1,15,0,0,0,0,5,0
tt0031385,"Goodbye, Mr. Chips",,1939.0,114.0,10311.0,1,16,0,0,0,0,3,0
tt0031647,Midnight,,1939.0,94.0,4904.0,1,17,0,0,0,0,1,0
tt0031762,Only Angels Have Wings,,1939.0,121.0,13595.0,1,18,0,0,0,0,4,0
tt0032156,The Story of the Last Chrysanthemum,Zangiku monogatari,1939.0,143.0,3600.0,1,19,0,0,0,1,6,0
tt0032520,The Ghost Breakers,,1940.0,85.0,3378.0,1,20,0,0,0,0,3,0
tt0032904,The Philadelphia Story,,1940.0,112.0,66874.0,1,21,0,0,0,0,3,0
tt0033022,Saps at Sea,Saps at Sea,1940.0,56.0,2766.0,1,22,0,0,0,0,3,0
tt0033152,The Thief of Bagdad,,1940.0,106.0,12840.0,1,23,0,0,0,0,4,0
tt0033945,Never Give a Sucker an Even Break,,1941.0,71.0,2315.0,1,24,0,0,0,0,7,0
tt0034862,Holiday Inn,Holiday Inn,1942.0,100.0,14436.0,1,25,0,0,0,0,2,0
tt0035009,The Mad Monster,,1942.0,77.0,1720.0,0,26,0,0,0,0,3,0
tt0036260,Phantom Lady,Phantom Lady,1944.0,87.0,4833.0,1,27,0,0,0,0,2,0
tt0036716,Cobra Woman,Cobra Woman,1944.0,71.0,1101.0,0,28,0,0,0,0,2,0
tt0037055,The Mask of Dimitrios,,1944.0,95.0,3530.0,1,29,0,0,0,0,4,0
tt0037913,Mildred Pierce,Mildred Pierce,1945.0,111.0,24727.0,1,30,0,0,0,0,2,0
tt0037939,The Naughty Nineties,The Naughty Nineties,1945.0,76.0,1957.0,1,31,0,0,0,0,3,0
tt0038057,Scarlet Street,,1945.0,102.0,15930.0,1,32,0,0,0,0,2,0
tt0038355,The Big Sleep,,1946.0,114.0,83357.0,1,33,0,0,0,0,3,0
tt0038733,Stairway to Heaven,A Matter of Life and Death,1946.0,104.0,21218.0,1,34,0,0,0,1,3,0
tt0039305,Dead Reckoning,,1947.0,100.0,7368.0,1,35,0,0,0,0,2,0
tt0039631,Monsieur Verdoux,,1947.0,124.0,16962.0,1,36,0,0,0,0,2,0
tt0039676,The October Man,The October Man,1947.0,95.0,1260.0,1,37,0,0,0,0,3,0
tt0040626,My Dear Secretary,My Dear Secretary,1948.0,94.0,3559.0,0,38,0,0,0,0,3,0
tt0040724,Red River,,1948.0,133.0,30065.0,1,39,0,0,0,0,2,0
tt0040737,Bitter Rice,,1949.0,108.0,4052.0,1,40,0,0,0,0,2,0
tt0040795,Sitting Pretty,,1948.0,83.0,2332.0,1,41,0,0,0,0,2,0
tt0040843,The Street with No Name,The Street with No Name,1948.0,91.0,2910.0,1,42,0,0,0,0,5,0
tt0040970,The Winslow Boy,,1948.0,117.0,1422.0,1,43,0,0,0,0,3,0
tt0042395,Devil's Doorway,,1950.0,84.0,1544.0,1,44,0,0,0,0,2,0
tt0042451,Father of the Bride,,1950.0,92.0,10941.0,1,45,0,0,0,0,4,0
tt0042742,Mister 880,Mister 880,1950.0,90.0,1519.0,1,46,0,0,0,0,2,1
tt0042792,No Way Out,No Way Out,1950.0,106.0,4931.0,1,47,0,0,0,0,3,0
tt0043278,An American in Paris,,1951.0,114.0,32528.0,1,48,0,0,0,0,4,0
tt0043332,Beautiful,,1951.0,114.0,4439.0,1,49,0,0,0,0,1,0
tt0043769,The Magic Box,,1951.0,118.0,1241.0,1,50,0,0,0,0,3,0
tt0043918,The Little World of Don Camillo,Don Camillo,1952.0,107.0,4348.0,1,51,0,0,0,1,6,0
tt0043927,La Poison,La poison,1951.0,85.0,1262.0,1,52,0,0,0,1,2,0
tt0045205,Sudden Fear,Sudden Fear,1952.0,110.0,5993.0,1,53,0,0,0,0,2,0
tt0045554,Welcome Mr. Marshall!,"Bienvenido, Mister Marshall!",1953.0,78.0,4153.0,1,54,0,0,0,1,3,0
tt0045793,From Here to Eternity,,1953.0,118.0,45651.0,1,55,0,0,0,0,4,0
tt0046248,Robot Monster,Robot Monster,1953.0,66.0,4924.0,0,56,0,0,0,0,2,0
tt0047494,The Silver Chalice,,1954.0,142.0,1562.0,0,57,0,0,0,0,3,0
tt0047647,Vera Cruz,Vera Cruz,1954.0,94.0,9802.0,1,58,0,0,0,0,2,0
tt0048337,A Man Called Peter,A Man Called Peter,1955.0,119.0,1007.0,1,59,0,0,0,0,4,0
tt0048342,The Man from Laramie,The Man from Laramie,1955.0,103.0,10440.0,1,60,0,0,0,0,4,0
tt0048380,Mister Roberts,,1955.0,123.0,16258.0,1,61,0,0,0,0,2,0
tt0049783,The Forty-First,Sorok pervyy,1956.0,88.0,1484.0,1,62,0,0,0,1,2,0
tt0050105,An Affair to Remember,,1957.0,115.0,29423.0,1,63,0,0,0,0,4,0
tt0050356,The Enemy Below,,1957.0,98.0,10685.0,1,64,0,0,0,0,3,0
tt0050858,The Pride and the Passion,,1957.0,132.0,2733.0,0,65,0,0,0,0,5,0
tt0051047,The Tall T,,1957.0,78.0,5001.0,1,66,0,0,0,0,3,0
tt0051337,The 7th Voyage of Sinbad,,1958.0,88.0,12888.0,1,67,0,0,0,0,5,1
tt0051507,Curse of the Faceless Man,,1958.0,67.0,1035.0,0,68,0,0,0,0,5,0
tt0052151,Run Silent Run Deep,,1958.0,93.0,11169.0,1,69,0,0,0,0,4,0
tt0052188,She Gods of Shark Reef,She Gods of Shark Reef,1958.0,63.0,1002.0,0,70,0,0,0,0,5,0
